Row_ID,Chapter,Speaker,Text,Action,Comment_flg,Prev_Row_ID,Next_Row_ID
th-1,,,[Кулигин сидит на скамье и смотрит за реку. Кудряш и Шапкин прогуливаются.],,Y,,th-2
th-2,,Кулигин,"Чудеса, истинно надобно сказать, что чудеса! Кудряш! Вот, братец ты мой, пятьдесят лет я каждый день гляжу за Волгу и все наглядеться не могу.","(поет) «Среди долины ровныя, на гладкой высоте...» (Перестает петь.)",N,th-1,th-3
th-3,,Кудряш,А что?,,N,th-2,th-4
th-4,,Кулигин,Вид необыкновенный! Красота! Душа радуется.,,N,th-3,th-5
th-5,,Кудряш,Нешто́!,,N,th-4,th-6
th-6,,Кулигин,"Восторг! А ты: «нешто́!» Пригляделись вы, либо не понимаете, какая красота в природе разлита.",,N,th-5,th-7
th-7,,Кудряш,"Ну, да ведь с тобой что толковать! Ты у нас антик, химик!",,N,th-6,th-8
th-8,,Кулигин,"Механик, самоучка-механик.",,N,th-7,th-9
th-9,Кудряш: Все одно.,Кудряш,Все одно.,,N,th-8,th-10
th-10,Кудряш: Все одно.,,[Молчание.],,Y,th-9,th-11
th-11,Кудряш: Все одно.,Кулигин,"Посмотри-ка, брат Кудряш, кто это там так руками размахивает?",(показывая в сторону),N,th-10,th-12
th-12,Кудряш: Все одно.,Кудряш,Это? Это Дико́й племянника ругает.,,N,th-11,th-13
th-13,Кудряш: Все одно.,Кулигин,Нашел место!,,N,th-12,th-14
th-14,Кудряш: Все одно.,Кудряш,"Ему везде место. Боится, что ль, он кого! Достался ему на жертву Борис Григорьич, вот он на нем и ездит.",,N,th-13,th-15
th-15,Кудряш: Все одно.,Шапкин,"Уж такого-то ругателя, как у нас Савел Прокофьич, поискать еще! Ни за что человека оборвет.",,N,th-14,th-16
th-16,Кудряш: Все одно.,Кудряш,Пронзительный мужик!,,N,th-15,th-17
th-17,Кудряш: Все одно.,Шапкин,Хороша тоже и Кабаниха.,,N,th-16,th-18
th-18,Кудряш: Все одно.,Кудряш,"Ну, да та хоть по крайности все под видом благочестия, а этот как с цепи сорвался!",,N,th-17,th-19
th-19,Кудряш: Все одно.,Шапкин,"Унять-то ею некому, вот он и воюет!",,N,th-18,th-20
th-20,Кудряш: Все одно.,Кудряш,"Мало у нас парней-то на мою стать, а то бы мы его озорничать-то отучили.",,N,th-19,th-21
th-21,Кудряш: Все одно.,Шапкин,А что бы вы сделали?,,N,th-20,th-22
th-22,Кудряш: Все одно.,Кудряш,Постращали бы хорошенько.,,N,th-21,th-23
th-23,Кудряш: Все одно.,Шапкин,Как это?,,N,th-22,th-24
th-24,Кудряш: Все одно.,Кудряш,"Вчетвером этак, впятером в переулке где-нибудь поговорили бы с ним с глазу на глаз, так он бы шелковый сделался. А про нашу науку-то и не пикнул бы никому, только бы ходил да оглядывался.",,N,th-23,th-25
th-25,Кудряш: Все одно.,Шапкин,Недаром он хотел тебя в солдаты-то отдать.,,N,th-24,th-26
th-26,Кудряш: Все одно.,Кудряш,"Хотел, да не отдал, так это все одно что ничего. Не отдаст он меня:  он чует носом-то своим, что я свою голову дешево не продам. Это он вам страшен-то, а я с ним разговаривать умею.",,N,th-25,th-27
th-27,Кудряш: Все одно.,Шапкин,Ой ли!,,N,th-26,th-28
th-28,Кудряш: Все одно.,Кудряш,"Что тут:  ой ли! Я грубиян считаюсь; за что ж он меня держит? Стало быть, я ему нужен. Ну, значит, я его и не боюсь, а пущай же он меня боится.",,N,th-27,th-29
th-29,Кудряш: Все одно.,Шапкин,Уж будто он тебя и не ругает?,,N,th-28,th-30
th-30,Кудряш: Все одно.,Кудряш,"Как не ругать! Он без этого дышать не может. Да не спускаю и я:  он — слово, а я — десять; плюнет, да и пойдет. Нет, уж я перед ним рабствовать не стану.",,N,th-29,th-31
th-31,Кудряш: Все одно.,Кулигин,"С него, что ль, пример брать! Лучше уж стерпеть.",,N,th-30,th-32
th-32,Кудряш: Все одно.,Кудряш,"Ну, вот, коль ты умен, так ты его прежде учливости-то выучи, да потом и нас учи! Шаль, что дочери-то у него подростки, больших-то ни одной нет.",,N,th-31,th-33
th-33,Кудряш: Все одно.,Шапкин,А то что бы?,,N,th-32,th-34
th-34,Кудряш: Все одно.,Кудряш,Я б его уважил. Больно лих я на девок-то!,,N,th-33,th-35
th-35,Кудряш: Все одно.,Проходят Дико́й и Борис,Кулигин снимает шапку.,,N,th-34,th-36
th-36,Кудряш: Все одно.,Шапкин,"Отойдем к стороне. еще привяжется, пожалуй.",(Кудряшу),N,th-35,th-37
th-37,Кудряш: Все одно.,,[Отходят.],,Y,th-36,
